PLANT ID,BOTANICAL NAME,COMMON NAME,PLANT TYPE,FOLIAGE COLOR(SPRING),FOLIAGE COLOR(FALL),FLOWERS,LEAF TYPE,HARDINESS ZONE,SOIL TYPE,LIGHT REQUIREMENTS,IMAGE
11,GLEDITSIA TRIACANTHOS VAR. INERMIS,THORNLESS HONEYLOCUST,DECIDUOUS  ,GREEN,YELLOW  ,"NON-SHOWY, YELLOW","COMPOUND, OBLANCEOLATE",13,7,"FULL SUN, PART SHADE",http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=14464
12,STYPHNOLOBIUM JAPONICA,JAPANESE PAGODATREE,DECIDUOUS  ,BRIGHT GREEN,YELLOW,"SHOWY, WHITE","COMPOUND, OBLONG",16,7,FULL SUN,https://www.google.com/search?q=STYPHNOLOBIUM+JAPONICA&safe=active&tbm=isch&imgil=VVXqMeZQi9TT4M%253A%253BmjEMJ5tzB5IL9M%253Bhttp%25253A%25252F%25252Fwww.devongardenstrust.org.uk%25252F%25253Fq%2525253Dnode%25252F262&source=iu&pf=m&fir=VVXqMeZQi9TT4M%253A%252CmjEMJ5tzB5IL9M%252C_&usg=__ICk9IEOjEOaJr5KphAqzIcINmSE%3D&biw=1536&bih=760&ved=0ahUKEwiapYGnhIXVAhXM6YMKHaulCXwQyjcIjgE&ei=_sJmWZquIMzTjwSry6bgBw#imgrc=VVXqMeZQi9TT4M:
13,QUERCUS MUEHLENBERGII,CHINKAPIN OAK,DECIDUOUS  ,DARK GREEN,RED,"NON-SHOWY,GREEN","SIMPLE, ELLIPTIC",16,20,FULL SUN,http://plants.thegrowingplace.com/Content/Images/Photos/F971-11.jpg
14,TILIA AMERICANA,AMERICAN LINDEN,DECIDUOUS  ,GREEN,YELLOW,"NON-SHOWY, WHITE","SIMPLE, HEART-SHAPED",11,19,"FULL SUN, PART SHADE",http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=8753
15,CELTIS OCCIDENTALIS,COMMON HACKBERRY,DECIDUOUS  ,LIGHT GREEN,YELLOW,"NON-SHOWY, WHITE","SIMPLE, LANCEOLATE",7,20,"FULL SUN, PART SHADE",https://www.google.com/imgres?imgurl=https://newfs.s3.amazonaws.com/taxon-images-1000s1000/Cannabaceae/celtis-occidentalis-ha-atal.jpg&imgrefurl=https://gobotany.newenglandwild.org/species/celtis/occidentalis/&h=1000&w=667&tbnid=Ga84c36n1iaIXM:&tbnh=186&tbnw=124&usg=__bx1z3JKUHKYMeUzDScHrxQUIvO4=&vet=10ahUKEwjIvIrVhIXVAhUF2oMKHaIGCukQ_B0IgQEwCg..i&docid=QqYNLjgnx9uxdM&itg=1&sa=X&ved=0ahUKEwjIvIrVhIXVAhUF2oMKHaIGCukQ_B0IgQEwCg&ei=X8NmWYiRCYW0jwSijajIDg#h=1000&imgdii=U73ujc8lt93EyM:&tbnh=186&tbnw=124&vet=10ahUKEwjIvIrVhIXVAhUF2oMKHaIGCukQ_B0IgQEwCg..i&w=667
16,ZELKOVA SERRATA,JAPANESE ZELKOVA,DECIDUOUS  ,GREEN,"YELLOW, ORANGE, RED","SHOWY, PINK,FRAGRANT","SIMPLE, LANCEOLATE",21,20,FULL SUN,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=8244
17,BETULA PAPYRIFERA,PAPER BIRCH,DECIDUOUS  ,DARK GREEN,YELLOW,"NON-SHOWY, WHITE","SIMPLE, HEART-SHAPED",7,20,PART SHADE,https://www.google.com/search?q=BETULA+PAPYRIFERA&safe=active&tbm=isch&imgil=erY6TlKYMH0jHM%253A%253BtmpB2Kl5s3nssM%253Bhttps%25253A%25252F%25252Fwww.pinterest.com%25252Fpin%25252F374995106445266822%25252F&source=iu&pf=m&fir=erY6TlKYMH0jHM%253A%252CtmpB2Kl5s3nssM%252C_&usg=__LNWsq6t6mr7lTO-BXY2QFIqgjWM%3D&biw=1536&bih=760&ved=0ahUKEwiR9I7_hIXVAhUCw4MKHVYKCz0QyjcIjAE&ei=t8NmWdG8EoKGjwTWlKzoAw#imgrc=erY6TlKYMH0jHM:
18,CARPINUS CAROLINIANA,AMERICAN HORNBEAM,DECIDUOUS  ,GREEN,"YELLOW, ORANGE, RED","NON-SHOWY, WHITE","SIMPLE, OBLONG",12,19,"FULL SUN, PART SHADE",https://www.google.com/search?q=CARPINUS+CAROLINIANA&safe=active&tbm=isch&imgil=7gemDeKJezLQsM%253A%253B6CE7e1fg5_xiRM%253Bhttp%25253A%25252F%25252Flongislandnatives.com%25252Fproducts%25252Fcarpinus-caroliniana-american-hornbeam&source=iu&pf=m&fir=7gemDeKJezLQsM%253A%252C6CE7e1fg5_xiRM%252C_&usg=__KqGXogsKm9Ibr0kghgIxLd-vJlY%3D&biw=1536&bih=760&ved=0ahUKEwjQjZCIhYXVAhVq04MKHXACDAwQyjcIkAE&ei=ysNmWdCADOqmjwTwhLBg#imgrc=7gemDeKJezLQsM:
19,LARIX DECIDUA,EUROPEAN LARCH,DECIDUOUS CONIFER,GREEN,BRIGHT YELLOW,CONES,FINE NEEDLES,7,20,FULL SUN,https://www.google.com/search?q=LARIX+DECIDUA&safe=active&tbm=isch&imgil=C91TIKt8wSIzoM%253A%253BI2Os2VTj2-8BtM%253Bhttp%25253A%25252F%25252Fmajestictrees.co.uk%25252Ftree-shrub%25252F275-larix-decidua&source=iu&pf=m&fir=C91TIKt8wSIzoM%253A%252CI2Os2VTj2-8BtM%252C_&usg=__0lQtLF4TGK999BudAsGzzxBZ3Uk%3D&biw=1536&bih=760&ved=0ahUKEwiEmfKQhYXVAhWm6oMKHeHhAUAQyjcIigE&ei=3MNmWYS7I6bVjwThw4eABA#imgrc=C91TIKt8wSIzoM:
20,MAGNOLIA,MAGNOLIA,DECIDUOS,DARK GREEN,"YELLOW, BROWN","SHOWY,WHITE,GREEN,RED,PINK,PURPLE,YELLOW, FRAGRANT",OBLONG,12,19,FULL SUN,https://www.google.com/search?q=MAGNOLIA&safe=active&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiA86iZhYXVAhWh24MKHfLcAg4Q_AUICigB&biw=1536&bih=760#imgrc=5Eixv7Z2Ub-zPM:
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
