PLANT ID,BOTANICAL NAME,COMMON NAME,PLANT TYPE,FOLIAGE COLOR(SPRING),FOLIAGE COLOR(FALL),FLOWERS,LEAF TYPE,HARDINESS ZONE,SOIL TYPE,LIGHT REQUIREMENTS,IMAGE
11,GLEDITSIA TRIACANTHOS VAR. INERMIS,THORNLESS HONEYLOCUST,DECIDUOUS  TREE,GREEN,YELLOW  ,"NON-SHOWY, YELLOW",COMPOUND OBLANCEOLATE,4B,7,"FULL SUN, PART SHADE",http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=14464
12,STYPHNOLOBIUM JAPONICA,JAPANESE PAGODATREE,DECIDUOUS  TREE,BRIGHT GREEN,YELLOW,"SHOWY, WHITE",COMPOUND OBLONG,5A,7,FULL SUN,https://www.google.com/search?q=STYPHNOLOBIUM+JAPONICA&safe=active&tbm=isch&imgil=VVXqMeZQi9TT4M%253A%253BmjEMJ5tzB5IL9M%253Bhttp%25253A%25252F%25252Fwww.devongardenstrust.org.uk%25252F%25253Fq%2525253Dnode%25252F262&source=iu&pf=m&fir=VVXqMeZQi9TT4M%253A%252CmjEMJ5tzB5IL9M%252C_&usg=__ICk9IEOjEOaJr5KphAqzIcINmSE%3D&biw=1536&bih=760&ved=0ahUKEwiapYGnhIXVAhXM6YMKHaulCXwQyjcIjgE&ei=_sJmWZquIMzTjwSry6bgBw#imgrc=VVXqMeZQi9TT4M:
13,QUERCUS MUEHLENBERGII,CHINKAPIN OAK,DECIDUOUS  TREE,DARK GREEN,RED,"NON-SHOWY,GREEN",SIMPLE ELLIPTIC,5B,20,FULL SUN,http://plants.thegrowingplace.com/Content/Images/Photos/F971-11.jpg
14,TILIA AMERICANA,AMERICAN LINDEN,DECIDUOUS  TREE,GREEN,YELLOW,"NON-SHOWY, WHITE",SIMPLE HEART-SHAPED,3A,19,"FULL SUN, PART SHADE",http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=8753
15,CELTIS OCCIDENTALIS,COMMON HACKBERRY,DECIDUOUS  TREE,LIGHT GREEN,YELLOW,"NON-SHOWY, WHITE",SIMPLE LANCEOLATE,4A,20,"FULL SUN, PART SHADE",https://www.google.com/imgres?imgurl=https://newfs.s3.amazonaws.com/taxon-images-1000s1000/Cannabaceae/celtis-occidentalis-ha-atal.jpg&imgrefurl=https://gobotany.newenglandwild.org/species/celtis/occidentalis/&h=1000&w=667&tbnid=Ga84c36n1iaIXM:&tbnh=186&tbnw=124&usg=__bx1z3JKUHKYMeUzDScHrxQUIvO4=&vet=10ahUKEwjIvIrVhIXVAhUF2oMKHaIGCukQ_B0IgQEwCg..i&docid=QqYNLjgnx9uxdM&itg=1&sa=X&ved=0ahUKEwjIvIrVhIXVAhUF2oMKHaIGCukQ_B0IgQEwCg&ei=X8NmWYiRCYW0jwSijajIDg#h=1000&imgdii=U73ujc8lt93EyM:&tbnh=186&tbnw=124&vet=10ahUKEwjIvIrVhIXVAhUF2oMKHaIGCukQ_B0IgQEwCg..i&w=667
16,ZELKOVA SERRATA,JAPANESE ZELKOVA,DECIDUOUS  TREE,GREEN,"YELLOW, ORANGE, RED","SHOWY, PINK,FRAGRANT",SIMPLE LANCEOLATE,5A,20,FULL SUN,http://www.missouribotanicalgarden.org/PlantFinder/FullImageDisplay.aspx?documentid=8244
17,BETULA PAPYRIFERA,PAPER BIRCH,DECIDUOUS  TREE,DARK GREEN,YELLOW,"NON-SHOWY, WHITE",SIMPLE HEART-SHAPED,3A,20,PART SHADE,https://www.google.com/search?q=BETULA+PAPYRIFERA&safe=active&tbm=isch&imgil=erY6TlKYMH0jHM%253A%253BtmpB2Kl5s3nssM%253Bhttps%25253A%25252F%25252Fwww.pinterest.com%25252Fpin%25252F374995106445266822%25252F&source=iu&pf=m&fir=erY6TlKYMH0jHM%253A%252CtmpB2Kl5s3nssM%252C_&usg=__LNWsq6t6mr7lTO-BXY2QFIqgjWM%3D&biw=1536&bih=760&ved=0ahUKEwiR9I7_hIXVAhUCw4MKHVYKCz0QyjcIjAE&ei=t8NmWdG8EoKGjwTWlKzoAw#imgrc=erY6TlKYMH0jHM:
18,CARPINUS CAROLINIANA,AMERICAN HORNBEAM,DECIDUOUS  TREE,GREEN,"YELLOW, ORANGE, RED","NON-SHOWY, WHITE",SIMPLE OBLONG,5A,19,"FULL SUN, PART SHADE",https://www.google.com/search?q=CARPINUS+CAROLINIANA&safe=active&tbm=isch&imgil=7gemDeKJezLQsM%253A%253B6CE7e1fg5_xiRM%253Bhttp%25253A%25252F%25252Flongislandnatives.com%25252Fproducts%25252Fcarpinus-caroliniana-american-hornbeam&source=iu&pf=m&fir=7gemDeKJezLQsM%253A%252C6CE7e1fg5_xiRM%252C_&usg=__KqGXogsKm9Ibr0kghgIxLd-vJlY%3D&biw=1536&bih=760&ved=0ahUKEwjQjZCIhYXVAhVq04MKHXACDAwQyjcIkAE&ei=ysNmWdCADOqmjwTwhLBg#imgrc=7gemDeKJezLQsM:
19,LARIX DECIDUA,EUROPEAN LARCH,DECIDUOUS CONIFEROUS TREE,GREEN,BRIGHT YELLOW,CONES,FINE NEEDLES,4A,20,FULL SUN,https://www.google.com/search?q=LARIX+DECIDUA&safe=active&tbm=isch&imgil=C91TIKt8wSIzoM%253A%253BI2Os2VTj2-8BtM%253Bhttp%25253A%25252F%25252Fmajestictrees.co.uk%25252Ftree-shrub%25252F275-larix-decidua&source=iu&pf=m&fir=C91TIKt8wSIzoM%253A%252CI2Os2VTj2-8BtM%252C_&usg=__0lQtLF4TGK999BudAsGzzxBZ3Uk%3D&biw=1536&bih=760&ved=0ahUKEwiEmfKQhYXVAhWm6oMKHeHhAUAQyjcIigE&ei=3MNmWYS7I6bVjwThw4eABA#imgrc=C91TIKt8wSIzoM:
20,MAGNOLIA,MAGNOLIA,DECIDUOUS TREE,DARK GREEN,"YELLOW, BROWN","SHOWY,WHITE,GREEN,RED,PINK,PURPLE,YELLOW, FRAGRANT",OBLONG,5B,19,FULL SUN,https://www.google.com/search?q=MAGNOLIA&safe=active&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiA86iZhYXVAhWh24MKHfLcAg4Q_AUICigB&biw=1536&bih=760#imgrc=5Eixv7Z2Ub-zPM:
,,,,,,,,,,,
21,RUDBECKIA HIRTA,BLACKEYED SUSAN,WILDFLOWER,LIGHT GREEN,BROWN,"NON-SHOWY, YELLOW",SIMPLE LANCEOLATE,4A,9,PART SHADE,http://www.illinoiswildflowers.info/prairie/photox/er_goldenrod1.jpg
22,GLABERRIMA SSP INTERIOR,SMOOTH PHLOX,WILDFLOWER,GREEN,BROWN,"SHOWY, PINK, PURPLE",SIMPLE LANCEOLATE,3A,20,PART SHADE,http://www.wildflower.org/image_archive/320x240/PCD3422/PCD3422_IMG0073.JPG
23,ASCLEPIAS TUBEROSA,BUTTERFLY MILKWEED,WILDFLOWER,DARK GREEN,YELLOW,"SHOWY, ORANGE",SIMPLE LANCEOLATE,4A,13,FULL SUN,https://newfs.s3.amazonaws.com/taxon-images-1000s1000/Apocynaceae/asclepias-tuberosa-interior-fl-atal.jpg
24,ECHINACEA PALLIDA,PALE PURPLE CONEFLOWER,WILDFLOWER,GREEN,YELLOW,"SHOWY, PURPLE, PINK",SIMPLE LANCEOLATE,4A,6,PART SHADE,https://files.dnevnik.si/g/mojdom/_custom/Laura/trajnice_vs.jpg
25,TRADESCANTIA PALLIDA,SPIDERWORT,WILDFLOWER,PURPLE,PURPLE,"SHOWY, PINK  ",SIMPLE OBLANCEOLATE,3B,19,PART SHADE,"https://almostedenplants.com/shopping/images/full/Tradescantia,%20Purple%20Heart%20Jew.JPG"
26,RATIBIDA PALMATA,YELLOW CONEFLOWER,WILDFLOWER,GREEN,BROWN,"SHOWY, YELLOW",SIMPLE LANCEOLATE,4A,7,"FULL SUN, PART SHADE",https://www.nps.gov/common/uploads/photogallery/mwr/park/wica/A6515739-155D-4519-3EB7BF2F62016B22/A6515739-155D-4519-3EB7BF2F62016B22-large.jpg
27,SILPHIUM INTEGRIFOLIUM,ROSINWEED,WILDFLOWER,GREEN,BROWN,"SHOWY, YELLOW",SIMPLE LANCEOLATE,3A,11,FULL SUN,http://www.illinoiswildflowers.info/prairie/photox/rosinweed1.jpg
28,MONARDA FISTULOSA,WILD BERGAMOT,WILDFLOWER,GREEN,BROWN,"NON-SHOWY, PINK",SIMPLE LANCEOLATE,4A,7,FULL SUN,https://diggingri.files.wordpress.com/2013/07/dscn0504.jpg?w=640&h=480
29,ASCLEPIAS YRIACA,COMMON MILKWEED,WILDFLOWER,LIGHT GREEN,BROWN,"SHOWY, PINK",SIMPLE OBLANCEOLATE,3A,16,"FULL SUN, PART SHADE",http://www.pfaf.org/Admin/PlantImages/AsclepiasSyriaca2.jpg
30,LOBELIA CARDINALIS,CARDINAL FLOWER,WILDFLOWER,LIGHT GREEN,YELLOW,RED,SIMPLE LANCEOLATE,3B,20,"FULL SUN, PART SHADE",https://fromlynnsgarden.files.wordpress.com/2011/01/cardinal-flower.jpg?w=545
31,ALLIUM CERNUUM,NODDING ONION,WILDFLOWER,LIGHT GREEN,YELLOW,"SHOWY, PINK",SIMPLE LANCEOLATE,4A,13,"FULL SUN, PART SHADE",https://www.accentnatural.com/wp-content/uploads/2017/05/Joan-Rudolph-261-Nodding-Pink-Onion-Allium-cernuum-199x300.jpg
32,VERBONA STRICTA,HOARY VERVAIN,WILDFLOWER,LIGHT GREEN,YELLOW,"SHOWY, PURPLE   ",SIMPLE OBLANCEOLATE,3B,15,PART SHADE,http://static.inaturalist.org/photos/503400/original.JPG?1379548533
33,VERONICASTRUM VIRGINICUM,CULVERS ROOT,WILDFLOWER,GREEN,YELLOW,"SHOWY, WHITE",SIMPLE LANCEOLATE,4A,15,"FULL SUN, PART SHADE",https://davisla.files.wordpress.com/2011/07/veronicastrum-virginicum-album-e1311761179833.jpg
34,CACALIA ATRIPLICIFOLIA,PALE INDIAN PLANTAIN,WILDFLOWER,GREEN,YELLOW,"SHOWY, WHITE",SIMPLE HEART SHAPED,3B,6,FULL SUN,http://ftfc.org/mng-july-2013-photos/#prettyPhoto[postimages]/6/
35,SOLIDAGO JUNCEA,EARLY GOLDENROD,WILDFLOWER,GREEN,YELLOW,"SHOWY, YELLOW",SIMPLE LANCEOLATE,3B,8,FULL SUN ,https://perverdonk.com/Wild%20Flowers/Goldenrod/Early%20Goldenrod/200808051423094%20Early%20Goldenrod%20(Solidago%20juncea)%20-%20Misery%20Bay%2C%20Manitoulin%20Island.JPG
,,,,,,,,,,,
36,JUNIPERUS COMMUNIS,COMMON JUNIPER,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FLAT SCALE-LIKE,3B,7,"FULL SUN, PART SHADE",http://www.uwgb.edu/biodiversity/herbarium/shrubs/juncom_aspect03gf516.jpg
37,JUNIPERUS HORIZONTALIS,CREEPING JUNIPER,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FLAT SCALE-LIKE,4A,13,"FULL SUN, PART SHADE",http://www.onlineplantguide.com/Image%20Library/J/4528.jpg
38,HYDRANGEA PANICULATA,HYDRANGEA,DECIDUOUS SHRUB,DARK GREEN,BROWN,"SHOWY, WHITE",SIMPLE OBLONG,3B,13,"FULL SUN, PART SHADE",http://www.newplantsandflowers.com/wp-content/uploads/Hydrangea-paniculata-Polar-Bear-photo-Breederplants-300x225.jpg
39,ROSA 'RADRAZZ' KNOCK OUT,KNOCKOUT ROSE,DECIDUOUS SHRUB,GREEN,BROWN,"SHOWY,RED",SIMPLE OBANCEOLOATE,3B,15,"FULL SUN, PART SHADE",https://www.brighterblooms.com/images/D.cache.dpthmbn/1553.jpg
40,BUXUS,BOXWOOD,DECIDUOUS SHRUB,GREEN,BROWN,"NON-SHOWY, WHITE",SIMPLE OBLONG,4A,15,FULL SUN,http://russellsny.com/photogallery/plog-content/thumbs/plants/shrubs---evergreen---broad-leaf/large/264-boxwoodgreenmountaincolumnar-copy.jpg
41,PHYSOCARPUS OPULIFOLIUS,EASTERN NINEBARK ,DECIDUOUS SHRUB,GREEN,BROWN,"NON-SHOWY, WHITE, PINK","SIMPLE, ELLIPTIC",3B,7,FULL SUN PART SHADE,http://2.bp.blogspot.com/-LLdQUqg6PXw/US93Pvn1YXI/AAAAAAAAbt8/hneEBcWJPyM/s1600/Physocarpus+opulifolius+'Nugget'+at+Morton+2010c.jpg
42,LONICERA PERICLYMENUM,HONEYSUCKLE,DECIDUOUS SHRUB,GREEN,BROWN,"SHOWY, FRAGRANT, RED, YELLOW, ORANGE",SIMPLE OBLONG,4A,13,"FULL SUN, PART SHADE",https://4.bp.blogspot.com/-IkwpJWzlASQ/V3Git9368yI/AAAAAAAAAbs/vGJEQB-8PNgEaqohkHDC4nBuWBNmXLjYQCLcB/s640/DSCF1725.JPG
43,PICEA MUGO,MUGO SPRUCE,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FINE NEEDLES,3B,13,"FULL SUN, PART SHADE",https://s-media-cache-ak0.pinimg.com/564x/7f/ed/3d/7fed3d8badc12e594ec8062f25edb59f.jpg
44,PINUS MUGO,MUGO PINE,CONIFEROUS SHRUB,GREEN,GREEN,CONES,FINE NEEDLES,3B,13,"FULL SUN, PART SHADE",http://foothillsnurseries.com/wp-content/uploads/2013/01/mugopine-300x300.jpg
45,ABELIA X GRANDIFLORA ,ABELIA,DECIDUOUS SHRUB,DARK GREEN,BROWN,"SHOWY, PINK",SIMPLE LANCEOLATE,4B,13,"FULL SUN, PART SHADE",http://www.onlineplantguide.com/Image%20Library/A/8480.jpg
46,ABELIOPHYLLUM DISTICHUM,WHITE FORSYTHIA,DECIDUOUS SHRUB,DARK GREEN,BROWN,"SHOWY, WHITE",SIMPLE LANCEOLATE,5A,7,"FULL SUN, PART SHADE",http://www.onlineplantguide.com/Image%20Library/A/10747.jpg
47,BAECKEA VIRGATA,TALL BAECKEA ,CONIFEROUS SHRUB,LIGHT GREEN,LIGHT GREEN,CONES,FINE NEEDLES,5A,15,FULL SUN,http://www.onlineplantguide.com/Image%20Library/B/19340.jpg
48,AESCULUS PAVIA,RED BUCKEYE,DECIDUOUS SHRUB,GREEN,BROWN,"SHOWY, RED, ORANGE",COMPOUND OBLANCEOLATE,5A,7,FULL SUN,http://www.onlineplantguide.com/Image%20Library/A/1248.jpg
49,CALLICARPA DICHOTAMA ' ALBIFRUCTUS',WHITE BEAUTYBERRY,DECIDUOUS SHRUB,GREEN,BROWN,"NON-SHOWY, WHITE",SIMPLE OBLONG,5B,13,http://www.onlineplantguide.com/Image%20Library/C/1970.jpg,http://www.onlineplantguide.com/Image%20Library/C/1970.jpg
50,BACCHARIS HALIMIFOLIA,GROUNDSEL BUSH,DECIDUOUS SHRUB,GREEN,BROWN,"SHOWY, WHITE",SIMPLE LANCEOLATE,5A,13,http://www.onlineplantguide.com/Image%20Library/C/1970.jpg,http://www.onlineplantguide.com/Image%20Library/B/1598.jpg
